Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Wars of the Roses: The Fall of the Plantagenets and the Rise of the Tudors,Dan Jones,"",9780670026678,hardcover,to-read,2024/03/14,"","",0,"",,,,,,,,,"",,"",No
His Last Bow,Arthur Conan Doyle,"",9780755334438,paperback,read,2019/04/30,2019/05/08,2019/05/08,1,"",,,,,,,4.0,,"",,"",No
Mugre rosa,Fernanda Trías,"",9789915652375,paperback,read,2023/10/13,2024/08/28,2024/08/28,1,"",,,,,,,1.0,Insoportablemente aburrido,"",,"",No
A Viagem do Elefante,José Saramago,"",9789722120173,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
Stranger in the Lake,Kimberly Belle,"",9780778311133,paperback,to-read,2020/06/15,"","",0,"",,,,,,,,,"",,"",No
The Guest List,Lucy Foley,"","",digital,read,2023/03/14,2021/08/25,2021/08/25,1,"",,,,,,,3.0,Pretty dumb and fun.,"",,"",No
The House of the Spirits,Isabel Allende,Magda Bogin (Translator),9780553383805,paperback,read,2015/10/07,"","",1,"",,,,,,,5.0,,"",,"",No
The BFG,Roald Dahl,Quentin Blake (Illustrator),9780141311371,paperback,read,2016/02/22,2016/03/15,2016/03/15,1,"",,,,,,,4.0,,"",,"",No
Gods of Jade and Shadow,Silvia Moreno-Garcia,"",9781529402636,hardcover,read,2019/11/06,2021/02/04,2021/02/04,1,"",,,,,,,5.0,,"",,"",No
The King of Clubs - a Hercule Poirot Short Story (Hercule Poirot),Agatha Christie,"",9780062210951,digital,read,2018/10/10,2018/10/10,2018/10/10,1,"",,,,,,,4.0,,"",,"",No
A Murder Is Announced,Agatha Christie,"",9781579126292,hardcover,read,2018/10/31,2018/11/19,2018/11/19,1,"",,,,,,,4.0,,"",,"",No
Vampire of the Mists,Christie Golden,"",9781560761556,paperback,to-read,2025/07/14,"","",0,"",,,,,,,,,"",,"",No
A Tale of Two Cities,Charles Dickens,Richard Maxwell (Contributor),9780141439600,paperback,read,2015/10/07,"","",1,"",,,,,,,4.0,,"",,"",No
"Six Not-So-Easy Pieces: Einstein's Relativity, Symmetry, and Space-Time",Richard P. Feynman,Roger Penrose,9780465023936,paperback,to-read,2016/01/21,"","",0,"",,,,,,,,,"",,"",No
Lying for Money: How Legendary Frauds Reveal the Workings of Our World,Dan Davies,"",,,read,2024/10/09,2024/10/30,2024/10/30,1,"",,,,,,,5.0,,"",,"",No
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"",9780525536512,hardcover,to-read,2019/11/06,"","",0,"",,,,,,,,,"",,"",No
The Prisoner of Heaven,Carlos Ruiz Zafón,Lucia Graves (Translator),9780062206282,hardcover,to-read,2020/07/15,"","",0,"",,,,,,,,,"",,"",No
The Great Gatsby,F. Scott Fitzgerald,"",9780743273565,paperback,read,2015/10/07,"","",1,"",,,,,,,5.0,,"",,"",No
The Summer that Melted Everything,Tiffany McDaniel,"",9781250078063,hardcover,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
Neverwhere,Neil Gaiman,"",9780060557812,paperback,read,2017/01/28,2017/02/16,2017/02/16,1,"",,,,,,,4.0,,"",,"",No
The Neverending Story,Michael Ende,"Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)",9780525457589,hardcover,read,2015/10/20,2016/05/26,2016/05/26,1,"",,,,,,,3.0,,"",,"",No
The Nickel Boys,Colson Whitehead,"",9780385693974,digital,to-read,2019/07/08,"","",0,"",,,,,,,,,"",,"",No
